Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D21;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D24;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D21;Mean Cop_ctr_D24;
Zotu1484;0.04621;0.05904;93.21;7.82;33.8;;;;Zotu561;0.0638;0.07674;91.02;42;4.92;;;;Zotu1883;0.03692;0.06793;90.69;10.8;16.7;
Zotu229;0.04564;0.05832;93.26;1.91;29.1;;;;Zotu113;0.06354;0.07642;91.1;9.82;38.2;;;;Zotu973;0.03692;0.06793;90.76;20.5;29.6;
Zotu166;0.04563;0.0583;93.32;4.36;29.7;;;;Zotu2010;0.06231;0.07495;91.17;38.6;1.25;;;;Zotu2196;0.03664;0.06741;90.83;16.6;29.2;
Zotu236;0.04535;0.05795;93.38;0.455;27.7;;;;Zotu1020;0.06182;0.07436;91.25;0.909;38;;;;Zotu247;0.03664;0.06741;90.9;26.5;6.92;
Zotu102;0.04508;0.05759;93.44;0.364;27.3;;;;Zotu704;0.06176;0.07428;91.32;51.2;35.4;;;;Zotu1484;0.0362;0.06661;90.96;33.8;16.2;
Zotu134;0.04479;0.05722;93.5;30;4.58;;;;Zotu146;0.06097;0.07334;91.39;0;36.6;;;;Zotu1045;0.03484;0.06409;91.03;29.2;18.4;
Zotu532;0.04453;0.0569;93.55;1.73;28.3;;;;Zotu131;0.06087;0.07322;91.47;38;3.08;;;;Zotu595;0.03472;0.06388;91.09;2.25;23.1;
Zotu446;0.04446;0.0568;93.61;0.909;27.6;;;;Zotu125;0.06062;0.07291;91.54;36.7;0.583;;;;Zotu481;0.03456;0.06358;91.16;16.3;26.3;
Zotu68;0.04403;0.05625;93.67;0.545;26.9;;;;Zotu213;0.05994;0.07209;91.61;37.4;1.75;;;;Zotu884;0.03449;0.06345;91.22;1.08;21.4;
Zotu617;0.04381;0.05598;93.72;7.64;32;;;;Zotu98;0.05816;0.06995;91.68;35.5;0.667;;;;Zotu413;0.03343;0.06149;91.28;4.25;21.8;
